asset,freq,spread_mult,fill_prob,max_inventory,inventory_penalty,fee_per_share,slip_ppv,train_sharpe,val_sharpe,oos_sharpe,max_dd,turnover
ADA,1min,0.3,0.75,50,0.005,0.0002,5e-05,0.535,1.653,2.226,0.044,4073.0
ADA,1min,0.3,0.9,100,0.002,0.0002,5e-05,0.969,2.773,3.616,0.027,5324.0
ADA,1min,0.3,0.9,20,0.002,0.0002,5e-05,0.62,2.77,3.221,0.053,5278.0
ADA,1min,0.3,0.6,50,0.001,0.0002,5e-05,0.35,1.38,0.96,0.114,3058.0
ADA,1min,0.3,0.6,100,0.001,0.0002,5e-05,0.099,1.092,0.787,0.095,3081.0
ADA,1min,0.3,0.9,20,0.0001,0.0002,5e-05,0.462,1.515,1.558,0.079,5655.0
ADA,1min,0.3,0.6,100,0.0001,0.0002,5e-05,0.269,0.637,0.341,0.541,3555.0
ADA,1min,0.3,0.75,100,0.002,0.0002,5e-05,0.72,1.707,1.593,0.068,4116.0
ADA,1min,0.3,0.9,20,0.005,0.0002,5e-05,0.823,3.419,3.853,0.02,5318.0
ADA,1min,0.3,0.75,20,0.002,0.0002,5e-05,0.606,1.475,2.312,0.033,4098.0
ADA,1min,0.5,0.75,100,0.001,0.0002,5e-05,0.618,2.194,1.71,0.078,3994.0
ADA,1min,0.5,0.75,20,0.002,0.0002,5e-05,0.484,1.9,1.977,0.033,4026.0
ADA,1min,0.5,0.6,100,0.0001,0.0002,5e-05,0.022,0.429,0.318,0.29,3464.0
ADA,1min,0.5,0.9,50,0.005,0.0002,5e-05,1.306,2.996,2.852,0.053,5126.0
ADA,1min,0.5,0.9,50,0.0001,0.0002,5e-05,0.634,1.264,1.713,0.066,5484.0
ADA,1min,0.5,0.75,100,0.0001,0.0002,5e-05,0.335,1.023,0.398,0.527,4493.0
ADA,1min,0.5,0.6,20,0.0001,0.0002,5e-05,0.129,1.062,0.126,0.64,3479.0
ADA,1min,0.5,0.9,50,0.002,0.0002,5e-05,1.404,2.555,3.153,0.021,5172.0
ADA,1min,0.5,0.75,20,0.0001,0.0002,5e-05,0.268,0.416,0.641,0.332,4502.0
ADA,1min,0.5,0.6,100,0.002,0.0002,5e-05,0.591,1.034,1.182,0.099,2998.0
ADA,1min,0.8,0.75,100,0.002,0.0002,5e-05,1.097,1.782,1.988,0.063,3665.0
ADA,1min,0.8,0.6,20,0.0001,0.0002,5e-05,0.687,0.738,0.25,0.581,3099.0
ADA,1min,0.8,0.9,50,0.002,0.0002,5e-05,2.011,2.968,3.522,0.025,4596.0
ADA,1min,0.8,0.75,50,0.005,0.0002,5e-05,1.051,2.122,2.581,0.017,3591.0
ADA,1min,0.8,0.6,50,0.005,0.0002,5e-05,0.814,1.396,1.459,0.044,2732.0
ADA,1min,0.8,0.6,20,0.002,0.0002,5e-05,0.942,1.015,0.982,0.112,2745.0
ADA,1min,0.8,0.6,100,0.0001,0.0002,5e-05,0.183,0.799,0.311,0.44,3029.0
ADA,1min,0.8,0.6,20,0.001,0.0002,5e-05,0.913,1.604,0.761,0.221,2768.0
ADA,1min,0.8,0.9,50,0.005,0.0002,5e-05,1.964,3.486,4.334,0.01,4620.0
ADA,1min,0.8,0.75,100,0.0001,0.0002,5e-05,0.674,0.974,1.237,0.109,3873.0
ADA,1min,1.2,0.75,50,0.001,0.0002,5e-05,1.124,2.042,1.505,0.089,2372.0
ADA,1min,1.2,0.75,20,0.005,0.0002,5e-05,0.698,2.009,2.264,0.032,2378.0
ADA,1min,1.2,0.9,20,0.002,0.0002,5e-05,1.704,3.505,3.938,0.023,2942.0
ADA,1min,1.2,0.75,50,0.0001,0.0002,5e-05,0.705,1.256,0.423,0.539,2464.0
ADA,1min,1.2,0.9,20,0.005,0.0002,5e-05,2.437,3.992,2.882,0.066,2954.0
ADA,1min,1.2,0.75,100,0.0001,0.0002,5e-05,0.664,1.19,0.682,0.307,2478.0
ADA,1min,1.2,0.75,20,0.001,0.0002,5e-05,0.617,1.902,1.425,0.08,2402.0
ADA,1min,1.2,0.9,100,0.002,0.0002,5e-05,2.011,4.295,3.466,0.026,2926.0
ADA,1min,1.2,0.75,20,0.002,0.0002,5e-05,1.113,1.818,1.457,0.096,2378.0
ADA,1min,1.2,0.75,100,0.005,0.0002,5e-05,1.092,1.837,2.103,0.046,2404.0
BTC,1sec,0.8,0.9,50,0.005,0.0002,5e-05,0.038,-0.029,0.031,6.942,344157.0
ETH,1min,0.8,0.9,50,0.005,0.0002,5e-05,0.172,-0.246,1.244,0.711,5742.0
